,timestamp,Ask,Bid,By on,Profits by Link,Volume,Total Profits in USDT,Cumulative of Total Profits in USDT
1858,2021-08-20 01:36:31,27.139,27.14,Binance,0.0010000000000012221,99.401,0.09940100000012148,172.96462644606478
1859,2021-08-20 01:36:32,27.139,27.14,Binance,0.0010000000000012221,145.811,0.14581100000017821,173.11043744606496
1860,2021-08-20 01:36:33,27.1257,27.126,Huobi,0.00030000000000285354,20.0,0.006000000000057071,173.11643744606502
1861,2021-08-20 01:36:34,27.124,27.1258,Binance,0.0018000000000029104,0.74,0.0013320000000021537,173.117769446065
1862,2021-08-20 01:36:34,27.124,27.1251,Binance,0.001100000000000989,1.95,0.002145000000001929,173.11991444606502
1863,2021-08-20 01:36:34,27.124,27.1249,Binance,0.0009000000000014552,2.5,0.002250000000003638,173.12216444606503
1864,2021-08-20 01:36:37,27.123,27.1249,Binance,0.0018999999999991246,2.5,0.0047499999999978115,173.12691444606503
1865,2021-08-20 01:36:37,27.123,27.1258,Binance,0.00280000000000058,0.74,0.002072000000000429,173.12898644606503
1866,2021-08-20 01:36:37,27.123,27.1251,Binance,0.0020999999999986585,1.95,0.004094999999997384,173.13308144606503
1867,2021-08-20 01:36:39,27.124,27.1258,Binance,0.0018000000000029104,0.74,0.0013320000000021537,173.13441344606503
1868,2021-08-20 01:36:39,27.124,27.1251,Binance,0.001100000000000989,0.478,0.0005258000000004728,173.13493924606502
1869,2021-08-20 01:36:39,27.125,27.1251,Binance,9.999999999976694e-05,1.472,0.00014719999999965693,173.135086446065
1870,2021-08-20 01:36:40,27.124,27.1249,Binance,0.0009000000000014552,2.5,0.002250000000003638,173.137336446065
1871,2021-08-20 01:36:40,27.124,27.1258,Binance,0.0018000000000029104,0.74,0.0013320000000021537,173.138668446065
1872,2021-08-20 01:36:40,27.124,27.1251,Binance,0.001100000000000989,1.95,0.002145000000001929,173.140813446065
1873,2021-08-20 01:36:41,27.125,27.1251,Binance,9.999999999976694e-05,1.95,0.00019499999999954553,173.141008446065
1874,2021-08-20 01:36:41,27.125,27.1258,Binance,0.0008000000000016882,0.74,0.0005920000000012493,173.141600446065
1875,2021-08-20 01:36:42,27.122,27.1258,Binance,0.003800000000001802,0.74,0.0028120000000013334,173.14441244606502
1876,2021-08-20 01:36:42,27.122,27.1251,Binance,0.0030999999999998806,1.95,0.006044999999999767,173.15045744606502
